A	1	10
A	2	2.5
A	3	5
A	4	5
A	5	10
A	6	2.5
A	7	2.5
A	8	1.25
A	9	5
A	10	5
A	11	2.5
A	12	2.5
A	13	1.25
A	14	10
A	15	10
A	16	1.25
A	17	2.5
A	18	5
A	19	2.5
A	20	2.5
A	21	2.5
A	22	1.25
A	23	5
A	24	10
B	1	2.5
B	2	5
B	3	2.5
B	4	10
B	5	2.5
B	6	10
B	7	2.5
B	8	2.5
B	9	2.5
B	10	1.25
B	11	10
B	12	10
B	13	1.25
B	14	1.25
B	15	2.5
B	16	1.25
B	17	5
B	18	2.5
B	19	5
B	20	1.25
B	21	10
B	22	1.25
B	23	1.25
B	24	1.25
C	1	1.25
C	2	10
C	3	1.25
C	4	5
C	5	5
C	6	2.5
C	7	10
C	8	10
C	9	2.5
C	10	2.5
C	11	10
C	12	10
C	13	2.5
C	14	10
C	15	1.25
C	16	5
C	17	5
C	18	2.5
C	19	1.25
C	20	10
C	21	2.5
C	22	5
C	23	1.25
C	24	10
D	1	5
D	2	1.25
D	3	5
D	4	1.25
D	5	5
D	6	5
D	7	2.5
D	8	10
D	9	10
D	10	2.5
D	11	1.25
D	12	1.25
D	13	10
D	14	5
D	15	2.5
D	16	1.25
D	17	10
D	18	5
D	19	10
D	20	1.25
D	21	2.5
D	22	1.25
D	23	10
D	24	1.25
E	1	10
E	2	10
E	3	2.5
E	4	1.25
E	5	1.25
E	6	2.5
E	7	2.5
E	8	1.25
E	9	1.25
E	10	5
E	11	1.25
E	12	1.25
E	13	5
E	14	10
E	15	5
E	16	10
E	17	10
E	18	5
E	19	1.25
E	20	10
E	21	1.25
E	22	5
E	23	2.5
E	24	2.5
F	1	5
F	2	5
F	3	10
F	4	5
F	5	1.25
F	6	10
F	7	10
F	8	10
F	9	1.25
F	10	5
F	11	10
F	12	2.5
F	13	10
F	14	1.25
F	15	2.5
F	16	2.5
F	17	10
F	18	2.5
F	19	10
F	20	10
F	21	1.25
F	22	2.5
F	23	2.5
F	24	10
G	1	2.5
G	2	1.25
G	3	1.25
G	4	5
G	5	1.25
G	6	1.25
G	7	2.5
G	8	1.25
G	9	5
G	10	2.5
G	11	10
G	12	5
G	13	2.5
G	14	5
G	15	5
G	16	5
G	17	1.25
G	18	1.25
G	19	2.5
G	20	2.5
G	21	10
G	22	2.5
G	23	5
G	24	1.25
H	1	1.25
H	2	2.5
H	3	5
H	4	1.25
H	5	1.25
H	6	1.25
H	7	10
H	8	5
H	9	5
H	10	1.25
H	11	10
H	12	5
H	13	5
H	14	10
H	15	5
H	16	5
H	17	10
H	18	1.25
H	19	5
H	20	2.5
H	21	10
H	22	10
H	23	1.25
H	24	1.25
I	1	1.25
I	2	10
I	3	5
I	4	5
I	5	10
I	6	2.5
I	7	5
I	8	5
I	9	5
I	10	2.5
I	11	2.5
I	12	5
I	13	1.25
I	14	10
I	15	10
I	16	2.5
I	17	5
I	18	1.25
I	19	10
I	20	5
I	21	1.25
I	22	10
I	23	10
I	24	2.5
J	1	10
J	2	2.5
J	3	10
J	4	5
J	5	10
J	6	10
J	7	5
J	8	2.5
J	9	1.25
J	10	5
J	11	1.25
J	12	1.25
J	13	5
J	14	10
J	15	1.25
J	16	2.5
J	17	1.25
J	18	10
J	19	2.5
J	20	1.25
J	21	1.25
J	22	5
J	23	1.25
J	24	1.25
K	1	10
K	2	5
K	3	5
K	4	1.25
K	5	5
K	6	5
K	7	5
K	8	10
K	9	5
K	10	10
K	11	2.5
K	12	1.25
K	13	5
K	14	10
K	15	1.25
K	16	5
K	17	1.25
K	18	2.5
K	19	10
K	20	2.5
K	21	5
K	22	5
K	23	2.5
K	24	2.5
L	1	10
L	2	2.5
L	3	10
L	4	2.5
L	5	10
L	6	5
L	7	2.5
L	8	5
L	9	1.25
L	10	5
L	11	2.5
L	12	10
L	13	2.5
L	14	2.5
L	15	2.5
L	16	2.5
L	17	2.5
L	18	5
L	19	2.5
L	20	2.5
L	21	2.5
L	22	1.25
L	23	5
L	24	10
M	1	10
M	2	2.5
M	3	10
M	4	1.25
M	5	5
M	6	10
M	7	10
M	8	1.25
M	9	5
M	10	10
M	11	5
M	12	1.25
M	13	5
M	14	2.5
M	15	2.5
M	16	5
M	17	5
M	18	10
M	19	1.25
M	20	10
M	21	5
M	22	5
M	23	5
M	24	2.5
N	1	10
N	2	2.5
N	3	1.25
N	4	2.5
N	5	5
N	6	10
N	7	2.5
N	8	1.25
N	9	1.25
N	10	5
N	11	5
N	12	5
N	13	1.25
N	14	1.25
N	15	2.5
N	16	10
N	17	1.25
N	18	10
N	19	1.25
N	20	10
N	21	10
N	22	2.5
N	23	5
N	24	2.5
O	1	1.25
O	2	5
O	3	10
O	4	10
O	5	1.25
O	6	5
O	7	10
O	8	2.5
O	9	1.25
O	10	1.25
O	11	1.25
O	12	5
O	13	2.5
O	14	10
O	15	10
O	16	2.5
O	17	2.5
O	18	5
O	19	1.25
O	20	1.25
O	21	5
O	22	2.5
O	23	2.5
O	24	10
P	1	10
P	2	1.25
P	3	5
P	4	5
P	5	5
P	6	5
P	7	5
P	8	5
P	9	10
P	10	10
P	11	5
P	12	1.25
P	13	10
P	14	1.25
P	15	10
P	16	5
P	17	2.5
P	18	10
P	19	10
P	20	10
P	21	5
P	22	5
P	23	2.5
P	24	5
